GRAND PRIX,DATE,WINNER,TEAM,LAPS,TIME
Austria,5-Jul,Valtteri Bottas,Mercedes,71,30:55.7
Styria,12-Jul,Lewis Hamilton,Mercedes,71,22:50.7
Hungary,19-Jul,Lewis Hamilton,Mercedes,70,36:12.5
Great Britain,2-Aug,Lewis Hamilton,Mercedes,52,28:01.3
70th Anniversary,9-Aug,Max Verstappen,Red Bull Racing Honda,52,19:42.0
Spain,16-Aug,Lewis Hamilton,Mercedes,66,31:45.3
Belgium,30-Aug,Lewis Hamilton,Mercedes,44,24:08.8
Italy,6-Sep,Pierre Gasly,AlphaTauri Honda,53,47:06.1
Tuscany,13-Sep,Lewis Hamilton,Mercedes,59,19:35.1
Russia,27-Sep,Valtteri Bottas,Mercedes,53,34:00.4
Eifel,11-Oct,Lewis Hamilton,Mercedes,60,35:49.6
Portugal,25-Oct,Lewis Hamilton,Mercedes,66,29:56.8
Emilia-Romagna,1-Nov,Lewis Hamilton,Mercedes,63,28:32.4
Turkey,15-Nov,Lewis Hamilton,Mercedes,58,42:19.3
Bahrain,29-Nov,Lewis Hamilton,Mercedes,57,59:47.5
Sakhir,6-Dec,Sergio Perez,Racing Point BWT Mercedes,87,31:15.1
Abu Dhabi,13-Dec,Max Verstappen,Red Bull Racing Honda,55,36:28.6
,,,,,
,,,,,
,,,,,
,,,,,
