GRAND PRIX,DATE,WINNER,TEAM,LAPS,TIME
Australia,16-Mar,Nico Rosberg,Mercedes,57,32:58.7
Malaysia,30-Mar,Lewis Hamilton,Mercedes,56,40:26.0
Bahrain,6-Apr,Lewis Hamilton,Mercedes,57,39:42.7
China,20-Apr,Lewis Hamilton,Mercedes,54,33:28.3
Spain,11-May,Lewis Hamilton,Mercedes,66,41:05.2
Monaco,25-May,Nico Rosberg,Mercedes,78,49:27.7
Canada,8-Jun,Daniel Ricciardo,Red Bull Racing Renault,70,39:12.8
Austria,22-Jun,Nico Rosberg,Mercedes,71,27:55.0
Great Britain,6-Jul,Lewis Hamilton,Mercedes,52,26:52.1
Germany,20-Jul,Nico Rosberg,Mercedes,67,33:42.9
Hungary,27-Jul,Daniel Ricciardo,Red Bull Racing Renault,70,53:05.1
Belgium,24-Aug,Daniel Ricciardo,Red Bull Racing Renault,44,24:36.6
Italy,7-Sep,Lewis Hamilton,Mercedes,53,19:10.2
Singapore,21-Sep,Lewis Hamilton,Mercedes,60,00:04.8
Japan,5-Oct,Lewis Hamilton,Mercedes,44,51:43.0
Russia,21-Oct,Lewis Hamilton,Mercedes,53,31:50.7
United States,2-Nov,Lewis Hamilton,Mercedes,56,40:04.8
Brazil,9-Nov,Nico Rosberg,Mercedes,71,30:02.6
Abu Dhabi,23-Nov,Lewis Hamilton,Mercedes,55,39:02.6
,,,,,
,,,,,
