GRAND PRIX,DATE,WINNER,TEAM,LAPS,TIME
Australia,17-Mar,Valtteri Bottas,Mercedes,58,25:27.3
Bahrain,31-Mar,Lewis Hamilton,Mercedes,57,34:21.3
China,14-Apr,Lewis Hamilton,Mercedes,56,32:06.4
Azerbaijan,28-Apr,Valtteri Bottas,Mercedes,51,31:52.9
Spain,12-May,Lewis Hamilton,Mercedes,66,35:50.4
Monaco,26-May,Lewis Hamilton,Mercedes,78,43:28.4
Canada,9-Jun,Lewis Hamilton,Mercedes,70,29:07.1
France,23-Jun,Lewis Hamilton,Mercedes,53,24:31.2
Austria,30-Jun,Max Verstappen,Red Bull Racing Honda,71,22:01.8
Great Britain,14-Jul,Lewis Hamilton,Mercedes,52,21:08.5
Germany,28-Jul,Max Verstappen,Red Bull Racing Honda,64,44:31.3
Hungary,4-Aug,Lewis Hamilton,Mercedes,70,35:03.8
Belgium,1-Sep,Charles Leclerc,Ferrari,44,23:45.7
Italy,8-Sep,Charles Leclerc,Ferrari,53,15:26.7
Singapore,22-Sep,Sebastian Vettel,Ferrari,61,58:33.7
Russia,29-Sep,Lewis Hamilton,Mercedes,53,33:39.0
Japan,13-Oct,Valtteri Bottas,Mercedes,52,21:46.8
Mexico,27-Oct,Lewis Hamilton,Mercedes,71,36:48.9
United States,3-Nov,Valtteri Bottas,Mercedes,56,33:55.7
Brazil,17-Nov,Max Verstappen,Red Bull Racing Honda,71,33:14.7
Abu Dhabi,1-Dec,Lewis Hamilton,Mercedes,55,34:05.7
,,,,,
,,,,,
