GRAND PRIX,DATE,WINNER,TEAM,LAPS,TIME
Bahrain,20-Mar,Charles Leclerc,Ferrari,57,37:33.6
Saudi Arabia,27-Mar,Max Verstappen,Red Bull Racing RBPT,50,24:19.3
Australia,10-Apr,Charles Leclerc,Ferrari,58,27:46.5
Emilia-Romagna,24-Apr,Max Verstappen,Red Bull Racing RBPT,63,32:08.0
Miami,8-May,Max Verstappen,Red Bull Racing RBPT,57,34:24.3
Spain,22-May,Max Verstappen,Red Bull Racing RBPT,66,37:20.5
Monaco,29-May,Sergio Perez,Red Bull Racing RBPT,64,56:30.3
Azerbaijan,12-Jun,Max Verstappen,Red Bull Racing RBPT,51,34:05.9
Canada,19-Jun,Max Verstappen,Red Bull Racing RBPT,70,36:21.8
Great Britain,3-Jul,Carlos Sainz,Ferrari,52,17:50.3
Austria,10-Jul,Charles Leclerc,Ferrari,71,24:24.3
France,24-Jul,Max Verstappen,Red Bull Racing RBPT,53,30:02.1
Hungary,31-Jul,Max Verstappen,Red Bull Racing RBPT,70,39:35.9
Belgium,28-Aug,Max Verstappen,Red Bull Racing RBPT,44,25:52.9
Netherlands,4-Sep,Max Verstappen,Red Bull Racing RBPT,72,36:42.8
Italy,11-Sep,Max Verstappen,Red Bull Racing RBPT,53,20:27.5
Singapore,2-Oct,Sergio Perez,Red Bull Racing RBPT,59,02:20.2
Japan,9-Oct,Max Verstappen,Red Bull Racing RBPT,28,01:44.0
United States,23-Oct,Max Verstappen,Red Bull Racing RBPT,56,42:11.7
Mexico,30-Oct,Max Verstappen,Red Bull Racing RBPT,71,38:36.7
Brazil,13-Nov,George Russell,Mercedes,71,38:34.0
Abu Dhabi,20-Nov,Max Verstappen,Red Bull Racing RBPT,58,27:45.9
,,,,,
,,,,,
