resultId,raceId,driverId,constructorId,number,grid,finishPosition,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,forename,surname,driverName,gridPosition,Grand Prix,year
22166,901,820,206,4,21,15,15,15,0.0,54,\N,\N,49,18,108.249,184.341,12,Max,Chilton,Max Chilton,21.0,Malaysian Grand Prix,2014
22167,901,817,9,3,5,\N,R,16,0.0,49,\N,\N,48,5,104.675,190.635,39,Daniel,Ricciardo,Daniel Ricciardo,5.0,Malaysian Grand Prix,2014
22168,901,821,15,21,12,\N,R,17,0.0,35,\N,\N,27,16,107.782,185.14,6,Esteban,Gutiérrez,Esteban Gutiérrez,12.0,Malaysian Grand Prix,2014
22169,901,16,15,99,17,\N,R,18,0.0,32,\N,\N,27,17,108.04,184.698,10,Adrian,Sutil,Adrian Sutil,18.0,Malaysian Grand Prix,2014
22170,901,818,5,25,9,\N,R,19,0.0,18,\N,\N,4,19,108.527,183.869,131,Jean-Éric,Vergne,Jean-Éric Vergne,9.0,Malaysian Grand Prix,2014
22171,901,824,206,17,19,\N,R,20,0.0,8,\N,\N,4,21,111.473,179.01,23,Jules,Bianchi,Jules Bianchi,19.0,Malaysian Grand Prix,2014
22172,901,813,208,13,16,\N,R,21,0.0,7,\N,\N,6,20,110.929,179.888,5,Pastor,Maldonado,Pastor Maldonado,17.0,Malaysian Grand Prix,2014
22173,901,815,10,11,14,\N,W,22,0.0,0,\N,\N,\N,0,\N,\N,54,Sergio,Pérez,Sergio Pérez,14.0,Malaysian Grand Prix,2014
22174,902,1,131,44,2,1,1,1,25.0,57,39:42.7,5982743,49,2,97.108,200.634,1,Lewis,Hamilton,Lewis Hamilton,2.0,Bahrain Grand Prix,2014
22175,902,3,131,6,1,2,2,2,18.0,57,1.085,5983828,49,1,97.02,200.816,1,Nico,Rosberg,Nico Rosberg,1.0,Bahrain Grand Prix,2014
22176,902,815,10,11,4,3,3,3,15.0,57,24.067,6006810,36,7,99.32,196.165,1,Sergio,Pérez,Sergio Pérez,5.0,Bahrain Grand Prix,2014
22177,902,817,9,3,13,4,4,4,12.0,57,24.489,6007232,38,4,99.269,196.266,1,Daniel,Ricciardo,Daniel Ricciardo,3.0,Bahrain Grand Prix,2014
22178,902,807,10,27,11,5,5,5,10.0,57,28.654,6011397,37,3,98.785,197.228,1,Nico,Hülkenberg,Nico Hülkenberg,12.0,Bahrain Grand Prix,2014
22179,902,20,9,1,10,6,6,6,8.0,57,29.879,6012622,18,6,99.312,196.181,1,Sebastian,Vettel,Sebastian Vettel,11.0,Bahrain Grand Prix,2014
22180,902,13,3,19,7,7,7,7,6.0,57,31.265,6014008,40,5,99.272,196.26,1,Felipe,Massa,Felipe Massa,8.0,Bahrain Grand Prix,2014
22181,902,822,3,77,3,8,8,8,4.0,57,31.876,6014619,50,13,99.762,195.296,1,Valtteri,Bottas,Valtteri Bottas,4.0,Bahrain Grand Prix,2014
22182,902,4,6,14,9,9,9,9,2.0,57,32.595,6015338,53,12,99.732,195.355,1,Fernando,Alonso,Fernando Alonso,10.0,Bahrain Grand Prix,2014
22183,902,8,6,7,5,10,10,10,1.0,57,33.462,6016205,35,8,99.438,195.933,1,Kimi,Räikkönen,Kimi Räikkönen,6.0,Bahrain Grand Prix,2014
22184,902,826,5,26,12,11,11,11,0.0,57,41.342,6024085,12,15,100.16,194.52,1,Daniil,Kvyat,Daniil Kvyat,13.0,Bahrain Grand Prix,2014
22185,902,154,208,8,16,12,12,12,0.0,57,43.143,6025886,39,9,99.443,195.923,1,Romain,Grosjean,Romain Grosjean,16.0,Bahrain Grand Prix,2014
22186,902,820,206,4,21,13,13,13,0.0,57,59.909,6042652,48,21,101.825,191.34,1,Max,Chilton,Max Chilton,22.0,Bahrain Grand Prix,2014
22187,902,813,208,13,17,14,14,14,0.0,57,+1:02.803,6045546,52,11,99.666,195.484,1,Pastor,Maldonado,Pastor Maldonado,17.0,Bahrain Grand Prix,2014
22188,902,155,207,10,18,15,15,15,0.0,57,+1:27.900,6070643,17,18,101.246,192.434,1,Kamui,Kobayashi,Kamui Kobayashi,19.0,Bahrain Grand Prix,2014
