GRAND PRIX,DATE,WINNER,TEAM,LAPS,TIME
Australia,15-Mar,Lewis Hamilton,Mercedes,58,31:54.1
Malaysia,29-Mar,Sebastian Vettel,Ferrari,56,41:05.8
China,12-Apr,Lewis Hamilton,Mercedes,56,39:42.0
Bahrain,19-Apr,Lewis Hamilton,Mercedes,57,35:05.8
Spain,10-May,Nico Rosberg,Mercedes,66,41:12.6
Monaco,24-May,Nico Rosberg,Mercedes,78,49:18.4
Canada,7-Jun,Lewis Hamilton,Mercedes,70,31:53.1
Austria,21-Jun,Nico Rosberg,Mercedes,71,30:16.9
Great Britain,5-Jul,Lewis Hamilton,Mercedes,52,31:27.7
Hungary,26-Jul,Sebastian Vettel,Ferrari,69,46:10.0
Belgium,23-Aug,Lewis Hamilton,Mercedes,43,23:40.4
Italy,6-Sep,Lewis Hamilton,Mercedes,53,18:00.7
Singapore,20-Sep,Sebastian Vettel,Ferrari,61,01:22.1
Japan,27-Sep,Lewis Hamilton,Mercedes,53,28:06.5
Russia,11-Oct,Lewis Hamilton,Mercedes,53,37:11.0
United States,25-Oct,Lewis Hamilton,Mercedes,56,50:52.7
Mexico,1-Nov,Nico Rosberg,Mercedes,71,42:35.0
Brazil,15-Nov,Nico Rosberg,Mercedes,71,31:09.1
Abu Dhabi,29-Nov,Nico Rosberg,Mercedes,55,38:30.2
,,,,,
,,,,,
