GRAND PRIX,DATE,WINNER,TEAM,LAPS,TIME
Bahrain,28-Mar,Lewis Hamilton,Mercedes,56,32:03.9
Emilia-Romagna,18-Apr,Max Verstappen,Red Bull Racing Honda,63,02:34.6
Portugal,2-May,Lewis Hamilton,Mercedes,66,34:31.4
Spain,9-May,Lewis Hamilton,Mercedes,66,33:07.7
Monaco,23-May,Max Verstappen,Red Bull Racing Honda,78,38:56.8
Azerbaijan,6-Jun,Sergio Perez,Red Bull Racing Honda,51,13:36.4
France,20-Jun,Max Verstappen,Red Bull Racing Honda,53,27:25.8
Styria,27-Jun,Max Verstappen,Red Bull Racing Honda,71,22:18.9
Austria,4-Jul,Max Verstappen,Red Bull Racing Honda,71,23:54.5
Great Britain,18-Jul,Lewis Hamilton,Mercedes,52,58:23.3
Hungary,1-Aug,Esteban Ocon,Alpine Renault,70,04:43.2
Belgium,29-Aug,Max Verstappen,Red Bull Racing Honda,1,03:27.1
Netherlands,5-Sep,Max Verstappen,Red Bull Racing Honda,72,30:05.4
Italy,12-Sep,Daniel Ricciardo,McLaren Mercedes,53,21:54.4
Russia,26-Sep,Lewis Hamilton,Mercedes,53,30:41.0
Turkey,10-Oct,Valtteri Bottas,Mercedes,58,31:04.1
United States,24-Oct,Max Verstappen,Red Bull Racing Honda,56,34:36.6
Mexico,7-Nov,Max Verstappen,Red Bull Racing Honda,71,38:39.1
Brazil,14-Nov,Lewis Hamilton,Mercedes,71,32:22.9
Qatar,21-Nov,Lewis Hamilton,Mercedes,57,24:28.5
Saudi Arabia,5-Dec,Lewis Hamilton,Mercedes,50,06:15.1
Abu Dhabi,12-Dec,Max Verstappen,Red Bull Racing Honda,58,30:17.3
,,,,,
,,,,,
