GRAND PRIX,DATE,WINNER,TEAM,LAPS,TIME
Bahrain,5-Mar,Max Verstappen,Red Bull Racing Honda RBPT,57,33:56.7
Saudi Arabia,19-Mar,Sergio Perez,Red Bull Racing Honda RBPT,50,21:14.9
Australia,2-Apr,Max Verstappen,Red Bull Racing Honda RBPT,58,32:38.4
Azerbaijan,30-Apr,Sergio Perez,Red Bull Racing Honda RBPT,51,32:42.4
Miami,7-May,Max Verstappen,Red Bull Racing Honda RBPT,57,27:38.2
Monaco,28-May,Max Verstappen,Red Bull Racing Honda RBPT,78,48:52.0
Spain,4-Jun,Max Verstappen,Red Bull Racing Honda RBPT,66,27:57.9
Canada,18-Jun,Max Verstappen,Red Bull Racing Honda RBPT,70,33:58.3
Austria,2-Jul,Max Verstappen,Red Bull Racing Honda RBPT,71,25:33.6
Great Britain,9-Jul,Max Verstappen,Red Bull Racing Honda RBPT,52,25:16.9
Hungary,23-Jul,Max Verstappen,Red Bull Racing Honda RBPT,70,38:08.6
Belgium,30-Jul,Max Verstappen,Red Bull Racing Honda RBPT,44,22:30.4
Netherlands,27-Aug,Max Verstappen,Red Bull Racing Honda RBPT,72,24:04.4
Italy,3-Sep,Max Verstappen,Red Bull Racing Honda RBPT,51,13:41.1
Singapore,17-Sep,Carlos Sainz,Ferrari,62,46:37.4
Japan,24-Sep,Max Verstappen,Red Bull Racing Honda RBPT,53,30:58.4
Qatar,8-Oct,Max Verstappen,Red Bull Racing Honda RBPT,57,27:39.2
United States,22-Oct,Max Verstappen,Red Bull Racing Honda RBPT,56,35:21.4
Mexico,29-Oct,Max Verstappen,Red Bull Racing Honda RBPT,71,02:30.8
Brazil,5-Nov,Max Verstappen,Red Bull Racing Honda RBPT,71,56:48.9
Las Vegas,18-Nov,Max Verstappen,Red Bull Racing Honda RBPT,50,29:08.3
Abu Dhabi,26-Nov,Max Verstappen,Red Bull Racing Honda RBPT,58,27:02.6
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
