GRAND PRIX,DATE,WINNER,TEAM,LAPS,TIME
Australia,20-Mar,Nico Rosberg,Mercedes,57,48:15.6
Bahrain,3-Apr,Nico Rosberg,Mercedes,57,33:34.7
China,17-Apr,Nico Rosberg,Mercedes,56,38:53.9
Russia,1-May,Nico Rosberg,Mercedes,53,32:42.0
Spain,15-May,Max Verstappen,Red Bull Racing TAG Heuer,66,41:40.0
Monaco,29-May,Lewis Hamilton,Mercedes,78,59:29.1
Canada,12-Jun,Lewis Hamilton,Mercedes,70,31:05.3
Europe,19-Jun,Nico Rosberg,Mercedes,51,32:52.4
Austria,3-Jul,Lewis Hamilton,Mercedes,71,27:38.1
Great Britain,10-Jul,Lewis Hamilton,Mercedes,52,34:55.8
Hungary,24-Jul,Lewis Hamilton,Mercedes,70,40:30.1
Germany,31-Jul,Lewis Hamilton,Mercedes,67,30:44.2
Belgium,28-Aug,Nico Rosberg,Mercedes,44,44:51.1
Italy,4-Sep,Nico Rosberg,Mercedes,53,17:28.1
Singapore,18-Sep,Nico Rosberg,Mercedes,61,55:49.0
Malaysia,2-Oct,Daniel Ricciardo,Red Bull Racing TAG Heuer,56,37:12.8
Japan,9-Oct,Nico Rosberg,Mercedes,53,26:43.3
United States,23-Oct,Lewis Hamilton,Mercedes,56,38:12.6
Mexico,30-Oct,Lewis Hamilton,Mercedes,71,40:31.4
Brazil,13-Nov,Lewis Hamilton,Mercedes,71,01:01.3
Abu Dhabi,27-Nov,Lewis Hamilton,Mercedes,55,38:04.0
,,,,,
,,,,,
