resultId,raceId,driverId,constructorId,number,grid,finishPosition,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,forename,surname,driverName,gridPosition,Grand Prix,year,totalPitTime_ms,totalPitTime_s,positionsChange,pitEffect
22375,911,822,3,77,6,3.0,3,3,15.0,44,28.032,5104588,40,4,112.716,223.698,1,Valtteri,Bottas,Valtteri Bottas,6.0,Belgian Grand Prix,2014,45945.0,45.945,3.0,0.0652954619653934
22376,911,8,6,7,8,4.0,4,4,12.0,44,36.815,5113371,39,13,114.09,221.004,1,Kimi,Räikkönen,Kimi Räikkönen,8.0,Belgian Grand Prix,2014,45677.0,45.677,4.0,0.08757142544387767
22377,911,20,9,1,3,5.0,5,5,10.0,44,52.196,5128752,36,5,112.953,223.229,1,Sebastian,Vettel,Sebastian Vettel,3.0,Belgian Grand Prix,2014,68721.0,68.721,-2.0,-0.02910318534363586
22378,911,18,1,22,10,6.0,6,6,8.0,44,54.58,5131136,38,8,113.483,222.186,1,Jenson,Button,Jenson Button,10.0,Belgian Grand Prix,2014,45388.0,45.388,4.0,0.08812902088657795
22379,911,4,6,14,4,7.0,7,7,6.0,44,+1:01.162,5137718,29,11,113.879,221.413,1,Fernando,Alonso,Fernando Alonso,4.0,Belgian Grand Prix,2014,51894.0,51.894,-3.0,-0.05781015146259683
22380,911,815,10,11,13,8.0,8,8,4.0,44,+1:04.293,5140849,28,16,114.532,220.151,1,Sergio,Pérez,Sergio Pérez,13.0,Belgian Grand Prix,2014,47081.0,47.081,5.0,0.10619995327202056
22381,911,826,5,26,11,9.0,9,9,2.0,44,+1:05.347,5141903,26,14,114.159,220.87,1,Daniil,Kvyat,Daniil Kvyat,11.0,Belgian Grand Prix,2014,48518.0,48.518,2.0,0.041221814584277996
22382,911,807,10,27,18,10.0,10,10,1.0,44,+1:05.697,5142253,40,9,113.612,221.934,1,Nico,Hülkenberg,Nico Hülkenberg,18.0,Belgian Grand Prix,2014,47664.0,47.664,8.0,0.16784155756965424
22383,911,818,5,25,12,11.0,11,11,0.0,44,+1:11.920,5148476,31,7,113.276,222.592,1,Jean-Éric,Vergne,Jean-Éric Vergne,12.0,Belgian Grand Prix,2014,46773.0,46.773,1.0,0.021379855899771233
22384,911,825,1,20,7,12.0,12,12,0.0,44,+1:14.262,5150818,28,15,114.203,220.785,1,Kevin,Magnussen,Kevin Magnussen,7.0,Belgian Grand Prix,2014,45529.0,45.529,-5.0,-0.1098201146521997
22385,911,13,3,19,9,13.0,13,13,0.0,44,+1:15.975,5152531,37,3,112.512,224.104,1,Felipe,Massa,Felipe Massa,9.0,Belgian Grand Prix,2014,71252.0,71.252,-4.0,-0.05613877505192837
22386,911,16,15,99,14,14.0,14,14,0.0,44,+1:22.447,5159003,36,2,112.413,224.301,1,Adrian,Sutil,Adrian Sutil,14.0,Belgian Grand Prix,2014,71266.0,71.266,0.0,0.0
22387,911,821,15,21,20,15.0,15,15,0.0,44,+1:30.825,5167381,32,12,114,221.178,1,Esteban,Gutiérrez,Esteban Gutiérrez,20.0,Belgian Grand Prix,2014,46157.0,46.157,5.0,0.10832593106137749
22388,911,820,206,4,19,16.0,16,16,0.0,43,\N,\N,31,17,115.247,218.785,11,Max,Chilton,Max Chilton,19.0,Belgian Grand Prix,2014,48607.0,48.607,3.0,0.06171950542102989
22389,911,828,207,9,22,17.0,17,17,0.0,43,\N,\N,26,19,115.9,217.553,11,Marcus,Ericsson,Marcus Ericsson,22.0,Belgian Grand Prix,2014,48296.0,48.296,5.0,0.10352824250455524
22390,911,824,206,17,16,18.0,18,18,0.0,39,\N,\N,32,20,116.347,216.717,6,Jules,Bianchi,Jules Bianchi,16.0,Belgian Grand Prix,2014,49280.0,49.28,-2.0,-0.040584415584415584
22391,911,1,131,44,2,,R,19,0.0,38,\N,\N,33,10,113.707,221.748,31,Lewis,Hamilton,Lewis Hamilton,2.0,Belgian Grand Prix,2014,73403.0,73.403,,
22392,911,154,208,8,15,,R,20,0.0,33,\N,\N,21,18,115.649,218.025,31,Romain,Grosjean,Romain Grosjean,15.0,Belgian Grand Prix,2014,76663.0,76.663,,
22393,911,813,208,13,17,,R,21,0.0,1,\N,\N,\N,0,\N,\N,26,Pastor,Maldonado,Pastor Maldonado,17.0,Belgian Grand Prix,2014,,,,
22394,911,827,207,45,21,,R,22,0.0,1,\N,\N,\N,0,\N,\N,131,André,Lotterer,André Lotterer,21.0,Belgian Grand Prix,2014,,,,
22395,912,1,131,44,1,1.0,1,1,25.0,53,19:10.2,4750236,29,1,88.004,236.975,1,Lewis,Hamilton,Lewis Hamilton,1.0,Italian Grand Prix,2014,24453.0,24.453,0.0,0.0
22396,912,3,131,6,2,2.0,2,2,18.0,53,3.175,4753411,51,2,88.206,236.432,1,Nico,Rosberg,Nico Rosberg,2.0,Italian Grand Prix,2014,24583.0,24.583,0.0,0.0
22397,912,13,3,19,4,3.0,3,3,15.0,53,25.026,4775262,46,3,88.342,236.068,1,Felipe,Massa,Felipe Massa,4.0,Italian Grand Prix,2014,24323.0,24.323,1.0,0.04111334950458414
22398,912,822,3,77,3,4.0,4,4,12.0,53,40.786,4791022,50,5,88.559,235.49,1,Valtteri,Bottas,Valtteri Bottas,3.0,Italian Grand Prix,2014,24991.0,24.991,-1.0,-0.040014405185866915
22399,912,817,9,3,9,5.0,5,5,10.0,53,50.309,4800545,53,6,88.588,235.413,1,Daniel,Ricciardo,Daniel Ricciardo,9.0,Italian Grand Prix,2014,24388.0,24.388,4.0,0.1640150893882237
22400,912,20,9,1,8,6.0,6,6,8.0,53,59.965,4810201,34,10,89.141,233.952,1,Sebastian,Vettel,Sebastian Vettel,8.0,Italian Grand Prix,2014,25176.0,25.176,2.0,0.07944073721004132
22401,912,815,10,11,10,7.0,7,7,6.0,53,+1:02.518,4812754,35,8,89.107,234.042,1,Sergio,Pérez,Sergio Pérez,10.0,Italian Grand Prix,2014,24938.0,24.938,3.0,0.12029833988290962
22402,912,18,1,22,6,8.0,8,8,4.0,53,+1:03.063,4813299,35,11,89.245,233.68,1,Jenson,Button,Jenson Button,6.0,Italian Grand Prix,2014,24669.0,24.669,-2.0,-0.08107341197454294
22403,912,8,6,7,11,9.0,9,9,2.0,53,+1:03.535,4813771,43,7,88.942,234.476,1,Kimi,Räikkönen,Kimi Räikkönen,12.0,Italian Grand Prix,2014,24547.0,24.547,3.0,0.12221452723347048
22404,912,825,1,20,5,10.0,10,10,1.0,53,+1:06.171,4816407,34,12,89.283,233.58,1,Kevin,Magnussen,Kevin Magnussen,5.0,Italian Grand Prix,2014,24214.0,24.214,-5.0,-0.20649211200132156
22405,912,826,5,26,21,11.0,11,11,0.0,53,+1:11.184,4821420,51,4,88.486,235.684,1,Daniil,Kvyat,Daniil Kvyat,11.0,Italian Grand Prix,2014,24651.0,24.651,0.0,0.0
22406,912,807,10,27,13,12.0,12,12,0.0,53,+1:12.606,4822842,35,13,89.366,233.363,1,Nico,Hülkenberg,Nico Hülkenberg,14.0,Italian Grand Prix,2014,25547.0,25.547,2.0,0.07828707871765765
